mensaje_completo,categoria_predicha,prioridad_predicha
solicitud cliente retraso llegar a mi trabajo   llevó otro cliente,problemas con el viaje,alta
solicitud conductor cliente no esperó,problemas con el viaje,alta
solicitud conductor cliente no espero se fue,problemas con el viaje,alta
solicitud conductor sin dinero la señorita,problemas con el pago,inmediata
solicitud conductor el cliente se fué en otra unidad,problemas con el viaje,alta
"solicitud conductor no sale ,bloquear",problemas con el viaje,alta
solicitud conductor pésimo no espera,problemas con el viaje,alta
solicitud conductor cliente cancela la solicitud al momento de llegar,problemas con el viaje,alta
"solicitud conductor el cliente no salió, se fué en otra unidad",problemas con el viaje,alta
solicitud conductor no sale nadien se le llama y no contesta,problemas con el viaje,alta
solicitud conductor cliente no contesta ni mensajes ni llamadas no salio,problemas con el viaje,alta
solicitud cliente llevó otro cliente  actitud desagradable  canceló solicitud,problemas con el viaje,alta
solicitud conductor n,otros problemas,baja
solicitud conductor no v,otros problemas,baja
solicitud conductor hace perder tiempo y venir de gana y no asoma,problemas con el viaje,alta
solicitud conductor nunca salió,problemas con el viaje,alta
solicitud conductor cancela la solicitud,problemas con el viaje,alta
reclamo  para darte a conocer acerca de un conductor que le dejé el cambio para la siguiente carrera y no me me hizo la devolución,problemas con el pago,inmediata
solicitud conductor ya llegando y cancela si no desea no pida gracias,problemas con el viaje,alta
solicitud conductor demora mucho,problemas con el viaje,alta
solicitud conductor dijo q ya no necesitaba el taxi,problemas con el viaje,alta
solicitud cliente no tenia sueltos,problemas con el pago,inmediata
solicitud conductor el cliente se sue en otro taxi,problemas con el viaje,alta
solicitud conductor ya se a retirado,problemas con el viaje,alta
solicitud conductor pesimas cliente no espera unidad,problemas con el viaje,alta
solicitud conductor nadie sale,otros problemas,baja
solicitud conductor malo,otros problemas,baja
solicitud cliente pésimo,otros problemas,baja
solicitud conductor se fue en otro taxi y puso q la carrera a sido culminada,problemas con el viaje,alta
solicitud conductor cliente a bordo,otros problemas,baja
solicitud conductor el cliente cancela la solicitud cuando llegue al lugar y se va en otra unidad,problemas con el viaje,alta
solicitud conductor cliente no sale mucho tiempo esperando y no contesta el celular,problemas con el viaje,alta
solicitud conductor no respeta mal educada,problemas de comportamiento,urgente
"solicitud cliente pésimo servicio, lamentablemente una persona miy grosera   actitud desagradable",problemas de comportamiento,urgente
solicitud conductor cliente cancelo solicitud,problemas con el viaje,alta
solicitud conductor no sale el pasajero,problemas con el viaje,alta
"solicitud cliente jamás recibí el taxi, recogió a otra persona. deberían tener presente e indagar al momento de recoger al cliente. mal servicio el del día de hoy",problemas con el viaje,alta
solicitud conductor cliente no respond . se ha ido,otros problemas,baja
solicitud conductor cliente no salió y me retire,problemas con el viaje,alta
solicitud conductor no salio el cliente,problemas con el viaje,alta
solicitud cliente llevó otro cliente  actitud desagradable,problemas con el viaje,alta
solicitud conductor despota no espera que se baje otro cliente y comienza a parar otros taxis,problemas de comportamiento,urgente
solicitud conductor pesimo usuario pesimo,problemas con el viaje,alta
solicitud conductor el cliente no sale indica que la carrera está concluida se está en el lugar,problemas con el viaje,alta
"solicitud cliente tiene su taxímetro alterado, no puede ser que una carrera normal de mi casa a la universidad del azuay, que por lo general me cobran 2.5, me cobró 4.5",problemas con el pago,inmediata
solicitud conductor la peor clienta nunca salio,problemas de seguridad,inmediata
solicitud conductor cliente cansela la carrera,problemas con el viaje,alta
solicitud conductor pide x gusto,problemas con el viaje,alta
solicitud conductor se le llama y el cliente no contesta,problemas con el viaje,alta
solicitud conductor pesimo no salio,problemas con el viaje,alta
solicitud cliente recogió a otra persona,problemas de seguridad,inmediata
solicitud conductor estando en el punto cancelo,problemas con el viaje,alta
"solicitud cliente cobro excesivo, como siempre!  cobro inadecuado",problemas con el pago,inmediata
quiero eliminar mi anterior correo registrado buenos días quisiera eliminar mi anterior correo registrado ya o mi usuario ya que no me permite ing,problemas con la cuenta/app,alta
solicitud cliente nunca llego   nunca llegó,problemas con el viaje,alta
solicitud conductor pide 2 sistemas de servicio d e taxi al ver que llegó se ríe como que es chiste. hacer perde tiempo...,problemas con el viaje,alta
solicitud conductor majadero,problemas de comportamiento,urgente
solicitud conductor cliente no aparese no cotesta telefono ni mensajes creo que juega con la app,problemas con la cuenta/app,alta
solicitud conductor nunca espero cancelo,problemas con el viaje,alta
solicitud conductor no nca salió este cliente,problemas con el viaje,alta
solicitud conductor malo pone propina y no da nd,otros problemas,baja
solicitud cliente taxímetro cobra más de lo que es la carrera   cobro inadecuado,problemas con el pago,inmediata
solicitud conductor se demora en salir,problemas de seguridad,inmediata
solicitud conductor se va en otro taxi actitud grosera,problemas de comportamiento,urgente
solicitud conductor cliente  no salio no repondio ni llamadas ni mensajes,problemas de seguridad,inmediata
pre-registro #91222930  #estoydispuestoalcambio  #quieroserconductor | me gustaría poder ser un conductor clipp,mensaje de operador,baja
consulta  se debe aplicar el taximetro o cobrar al gusto,problemas con el pago,inmediata
solicitud conductor no paga x la mascota y no pide el servicio de mascotas,problemas con el viaje,alta
"solicitud cliente muy sucia la unidad, olor a caca.",problemas de comportamiento,urgente
pre-registro #91222930  #estoydispuestoalcambio  #quieroserconductor | me gustaría hacer un conductor clipp,mensaje de operador,baja
solicitud conductor esta mal la dirección....,problemas con la cuenta/app,alta
solicitud conductor servicio no realizado,problemas de seguridad,inmediata
solicitud conductor nunca salio ni contesta llamadas ni mensajes,problemas de seguridad,inmediata
solicitud conductor bloquear por favor,otros problemas,baja
solicitud cliente velocidad excesiva  actitud desagradable,problemas de seguridad,inmediata
solicitud conductor no sale nadie,problemas con el viaje,alta
"solicitud cliente cobro excesivo, primero quizo cobrar 5,25 y después cobro 4 cuando esa carrera al mismo lugar que es por 3,50.",problemas con el pago,inmediata
solicitud conductor no sale el cliente ya espero mas de 10 minutis,problemas con el viaje,alta
consulta objeto extraviado el dia viernes tome un taxi a las once pm     me gustaria que consulten con el señor conductor si de casualidad deje botados en la unidad unos audifonos   quedo muy agradecido en que le puedan consultar,objetos perdidos,urgente
solicitud cliente mucha vuelta para llegar al destino. pésimo servicio,problemas con el viaje,alta
llamada a conductor desde historial q me ayude cambiando el cilindro de gas q pedi,otros problemas,baja
eliminar cuenta no necesito taxi,problemas con la cuenta/app,alta
solicitud conductor cliente no espera el tiempo que se le indica se va en otro taxi se le llama desvia la llamada se le envía mensaje no responde,problemas con el viaje,alta
solicitud conductor pide y luego no necesita,problemas con el viaje,alta
solicitud conductor la unidad estaba esperando,problemas con el viaje,alta
solicitud conductor no sale nadie ya le he esperado 5 minutos y no da señales de vida,problemas con el viaje,alta
solicitud conductor pide uno llega y dice que no desea,problemas con el viaje,alta
solicitud conductor nvnvkvkvkvkvnvg,otros problemas,baja
solicitud conductor no respondió no asomo imposible esperar mucho tiempo no le serví,problemas con el viaje,alta
solicitud conductor pésimo cliente ya llegando al destino se van a otro taxi,problemas con el viaje,alta
solicitud conductor xxxffffffffggg,otros problemas,baja
pre-registro #1725788523  #estoydispuestoalcambio  #quieroserconductor | buenos días me gustaría ser parte de esta plataforma porfavor,mensaje de operador,baja
solicitud conductor hace esperar y no utiliza la unidad,problemas con el viaje,alta
solicitud conductor no esperó.....,problemas con el viaje,alta
"solicitud cliente el taxímetro estaba en 1,50",problemas con el pago,inmediata
solicitud cliente cabro mentiroso,otros problemas,baja
solicitud conductor cliente tiene información falsa el número de contacto no es el mismo pidió carrera y llame me dice que no a pedido nada,problemas con el viaje,alta
solicitud conductor mucho  tiempo de espera  no sale nadie,problemas con el viaje,alta
solicitud conductor estuvo con 2 mascotas,otros problemas,baja
solicitud conductor no sale me retiro,problemas con el viaje,alta
solicitud conductor botón abordo desactivado,otros problemas,baja
solicitud conductor cliente cancelo la carrera,problemas con el viaje,alta
solicitud conductor cliente cancelo la carrera o tomo otra unidad,problemas con el viaje,alta
solicitud conductor cliente hace llegar al punto y cancela la solicitud,problemas con el viaje,alta
consulta por favor quiero saber los datos de un conductor que me hizo la carrera el uno de enero a las dos y cuarenta y cuatro de la mañana desde la av manuel zambrano y brasil por un objeto perdido celular y cargador que el pasajero asegura haberle entregado al conductor,objetos perdidos,urgente
pre-registro #1724387673  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar  de conductor,mensaje de operador,baja
solicitud cliente mala educación y quiere cobrar de mas el maldito insecto ese  velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable  canceló solicitud  nunca llegó,vocabulario inadecuado,alta
solicitud conductor mal dada la direccion,problemas con el viaje,alta
solicitud cliente xxx,otros problemas,baja
solicitud conductor el cliente hace venir a lugar se lle llama y dice espere no puede hacer perder tiempo,problemas con el viaje,alta
solicitud conductor cancela cuando le mando la notificación que llegue,problemas con el viaje,alta
solicitud conductor no sale y no puedo parar mucho tiempo,problemas con el viaje,alta
solicitud cliente no desea llevar una encomienda,otros problemas,baja
pre-registro #170825051  #estoydispuestoalcambio  #quieroserconductor | quiero empezar a trabajar ya que tengo mi vehículo propio todo legalizado,mensaje de operador,baja
solicitud conductor me cancelo,problemas con el viaje,alta
solicitud conductor cancela al momento de llegar,problemas con el viaje,alta
pre-registro #1708250251  #estoydispuestoalcambio  #quieroserconductor | quiero ser conductor ya que tengo mi vehículo propio y todo legalizado,mensaje de operador,baja
solicitud conductor cliente no sale y finaliza carrera,problemas con el viaje,alta
solicitud conductor muy grosero  el cliente 😡 pp,problemas de comportamiento,urgente
solicitud conductor no pone bien  la dirección,problemas con la cuenta/app,alta
más seriedad con los sr conductores de les manda una encomienda a que dejen y nunca llegan  más seriedad x favor,problemas con el viaje,alta
solicitud conductor cancelo. ..cuando. llegue.,problemas con el viaje,alta
"solicitud cliente pésimo servicio, el chófer no quería aceptar la tarifa acordada en el aplicativo... nos trato muy mal",problemas de comportamiento,urgente
solicitud cliente incumplido,otros problemas,baja
solicitud conductor no salio no contesta llamada,problemas con el viaje,alta
solicitud conductor cliente puso a bordo y no fué así,problemas con el viaje,alta
solicitud conductor no sale no responde  los mensajes,problemas con el viaje,alta
solicitud conductor mal cliente me ase esperar demaciado tiempo y no sale,problemas con el viaje,alta
pre-registro #1708250251  #estoydispuestoalcambio  #quieroserconductor | deseo ser conductor ya que tengo mi vehículo propio,mensaje de operador,baja
solicitud conductor no hay nadie en el lugar y no resp el chat no es cancelada es dq no sale el cliente,problemas con el viaje,alta
olvido de una casaca buenos días el día de hoy me subí en un taxi a las nueve y treinta en la gomzalez suarez y huaynacapac y me dejó en el redondel de las cholas de piedra y deje olvidada una casaca negra por favor ayúdeme,objetos perdidos,urgente
pre-registro #2300068703  #estoydispuestoalcambio  #quieroserconductor | soy conductor,mensaje de operador,baja
solicitud conductor solicita unidad pero nunca sale,problemas con el viaje,alta
solicitud cliente nunca vino,problemas con el viaje,alta
solicitud cliente actitud desagradable  cobro inadecuado  mal estado de vehículo  uso teléfono hablo/chat,problemas de comportamiento,urgente
solicitud conductor no. sale. no contesta pesimo,problemas con el viaje,alta
"solicitud conductor cliente hace ir envano, no sale",problemas con el viaje,alta
llamada a conductor desde historial caída de una billetera en el móvil,objetos perdidos,urgente
"solicitud conductor la clienta me dijo q ya no , la estuve llamando para q me asegure q no necesitaba la unidad y no contesta",problemas con el viaje,alta
solicitud conductor demas,otros problemas,baja
solicitud conductor cliente se ah ido,problemas con el viaje,alta
"solicitud conductor no reviso la placa , tomo cualquier carro",problemas con el viaje,alta
solicitud conductor demora mucho tiempo y quedo ay,problemas con el viaje,alta
solicitud conductor actitud desagradable y exigente cliente prepotente,problemas de comportamiento,urgente
solicitud conductor el cliente hace venir en vano no aparece por ningún lado,otros problemas,baja
contratación de camionetas o mini camiones buenas tardes por favor necesitamos contratar una camioneta o mini camión para una mudanza,otros problemas,baja
solicitud conductor cancelo cuando estuve en camino,problemas con el viaje,alta
solicitud conductor pe,otros problemas,baja
solicitud conductor canceló la carrera estando ya cerca mal cliente,problemas con el viaje,alta
solicitud conductor no cotesta,otros problemas,baja
solicitud conductor no hay el cliente,problemas con el viaje,alta
solicitud conductor no salió y no respondió la llamada,problemas con el viaje,alta
solicitud conductor no sé realiza la carrera cliente pone q acepte que está a bordo  se le llama y nunca contesto pesimo cliente hacen perder tiempo,problemas con el viaje,alta
solicitud conductor nunca salió tuve que cancelar la carrera,problemas con el viaje,alta
"solicitud cliente esta de arreglar el taxímetro el señor me cobro 2,90 diferente a lo que marco claro el dijo que es chofer y fue muy amable sólo esa inquietud",problemas con el pago,inmediata
solicitud conductor se va en otro carro antes del tiempo,problemas con el viaje,alta
"eliminar cuenta ninguna, cambio de celular",problemas con la cuenta/app,alta
solicitud conductor el cliente llama y se va en otro taxi,problemas con el viaje,alta
solicitud conductor nunca sa,otros problemas,baja
solicitud conductor se fue en otra unidad,problemas con el viaje,alta
solicitud conductor pone mal la ubicación llego y se va en otro taxi,problemas con el viaje,alta
solicitud cliente el señor lleva por rutas alternas para pode cobrar mas dinero esa es una falta de respeto que un cliente tenga una ruta de 5 minutos y el haga 15   actitud desagradable,problemas de comportamiento,urgente
solicitud cliente debe avisar   llevó otro cliente  vehículo incorrecto  nunca llegó,problemas con el viaje,alta
solicitud cliente demasiada vuelta para llegar al destino,problemas con el viaje,alta
solicitud cliente no llego el taxi,problemas con el viaje,alta
solicitud conductor lopeor,otros problemas,baja
solicitud conductor coje de la calle,otros problemas,baja
solicitud conductor cliente falso,otros problemas,baja
llamada a conductor desde historial necesito saber si se me olvidó una funda en la unidad,objetos perdidos,urgente
pre-registro #0201197613  #estoydispuestoalcambio  #quieroserconductor | estoy tratando de recuperar porque lo desinstale la aplicacion,mensaje de operador,baja
solicitud conductor cliente pide x gusto la unidad,problemas con el viaje,alta
solicitud conductor no sale mucho tiempo esperando,problemas con el viaje,alta
tengo perdido un celular en una de las unidades q me acabo de abajar necesito ayuda,objetos perdidos,urgente
solicitud conductor le falle tuve un inconveniente,otros problemas,baja
solicitud conductor camcela,otros problemas,baja
"falta de respeto, no paga completo, venezolana mal educada  no paga la carrera completa, deja insultando y menospreciando, encima le espero más de 5 minutos y quiere que valla más rápido de lo normal, bloquear",problemas de comportamiento,urgente
solicitud conductor mala ubicación del mapa,problemas con la cuenta/app,alta
solicitud conductor cliente me escribió que no necesita el taxi 🚖,otros problemas,baja
solicitud conductor no entra kas cosas q quiere levar,otros problemas,baja
solicitud cliente pesimo servicio  nunca llegó,problemas con el viaje,alta
solicitud conductor gkfrye7r7rkfkgl,otros problemas,baja
solicitud conductor la cliente dice que no está lista todavía qué le esperé ya le esperó pero no sale,problemas con el viaje,alta
"solicitud cliente te carga como saco de papa, sin aire y tras eso carero  velocidad excesiva  actitud desagradable",problemas de comportamiento,urgente
solicitud conductor cogió otra unidad,problemas con el viaje,alta
solicitud conductor nunca bordo,problemas con el viaje,alta
solicitud conductor cliente no espera,problemas con el viaje,alta
solicitud conductor cliente cancela,problemas con el viaje,alta
solicitud conductor quiere llevar una mascota grade y suelta. dentro el vehículo por lo cual le dije q no y me retire gracias,otros problemas,baja
solicitud conductor solicita mal,otros problemas,baja
solicitud conductor nunca salio ....,problemas con el viaje,alta
solicitud conductor no paga completo,problemas con el pago,inmediata
solicitud cliente no espero uy se fue    llevó otro cliente,problemas con el viaje,alta
solicitud conductor nunca,otros problemas,baja
solicitud conductor ponga bien la dirección,problemas con la cuenta/app,alta
"solicitud conductor pésimo cliente, paga lo que le da la gana",otros problemas,baja
solicitud cliente q mal servicio de parte del señor yo siempre ocupo la aplicación y primera ves me pasa este pésimo servicio   nunca llegó,problemas con el viaje,alta
solicitud conductor cancela al llegar,problemas con el viaje,alta
carrera  lavadora iberia,otros problemas,baja
solicitud conductor se fue en un taxi electrico,otros problemas,baja
solicitud cliente antes de abordar ya tiene puesto el taxímetro .. además cobra demás redondeando el valor a su conveniencia.,problemas con el pago,inmediata
solicitud conductor no responde llamadas ni sms,problemas con el viaje,alta
solicitud conductor mil disculpa en el trayecto se daño el carro,otros problemas,baja
"solicitud cliente nunca me enseño el taxímetro , me indica q el costo es más cuando tienen q ir a recoger",problemas con el pago,inmediata
solicitud cliente cobro de mas,problemas con el pago,inmediata
solicitud conductor yo no sé para qué piden si no van a esperar,problemas con el viaje,alta
solicitud conductor clienta  agresiva pir ir por otra rutas,otros problemas,baja
solicitud conductor no estuvo bien la ubicación,problemas con la cuenta/app,alta
pre-registro #176124830  #estoydispuestoalcambio  #quieroserconductor | quiero ser parte como conductor,mensaje de operador,baja
solicitud conductor cliente se fue me hace venir por gusto,problemas con el viaje,alta
solicitud conductor llego y cancela la solicitud pésimo cliente,problemas con el viaje,alta
solicitud conductor cliente cancela y estando en el lugar,problemas con el viaje,alta
solicitud conductor el cliente no espera la unidad se fue en otro amarillo..,problemas con el viaje,alta
solicitud conductor cliente cancela la solicitud me retiro,problemas con el viaje,alta
solicitud conductor demasiada carga 3 quintales de arroz,otros problemas,baja
solicitud cliente no llego nunca    nunca llegó,problemas con el viaje,alta
solicitud conductor hace perder el tiempo si no vaa espera uno contesta,problemas con el viaje,alta
solicitud conductor cliente ya no desea la unidad miente que la ubicación es en otro sitio pero la referencia coincide con lo que ella ingresó,problemas con el viaje,alta
solicitud conductor canceló pero volvió a pedir,otros problemas,baja
solicitud conductor siguiente juega con la aplicación de santa maría del vergel,problemas de comportamiento,urgente
solicitud conductor cliente uso que está gordo y no ha llegado,otros problemas,baja
solicitud conductor cliente pide taxi y. llegó al lugar se  fue en otro,problemas con el viaje,alta
solicitud conductor 101 ese 66 creo que 5 es lo justo desde el benjamín franklin a mi pais,otros problemas,baja
solicitud conductor se va en otro vehículo,problemas con el viaje,alta
solicitud cliente nunca llegó el taxi,problemas con el viaje,alta
solicitud cliente si    velocidad excesiva,problemas de seguridad,inmediata
solicitud conductor más seriedad,problemas con el viaje,alta
solicitud conductor cliente quiere subir 5 personas mas un perro,otros problemas,baja
solicitud conductor cliente pide la unidad y no sale bloquear por favor,problemas con el viaje,alta
solicitud cliente tomó ruta más larga y dio menos cambió   actitud desagradable,problemas con el pago,inmediata
solicitud cliente velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable,problemas de seguridad,inmediata
solicitud conductor pésimo cliente no espera el taxi,problemas con el viaje,alta
solicitud conductor no está el cliente,problemas de seguridad,inmediata
solicitud conductor el gps está mal cliente molesto...,problemas con la cuenta/app,alta
solicitud conductor este cliente juega con la aplicasuon bloquiar,problemas de comportamiento,urgente
solicitud conductor cliente no salio ni contesta los mensajes,otros problemas,baja
pre-registro #9170007  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con clipciudad:tarija  |,mensaje de operador,baja
solicitud conductor cliente se va en otra unidad,problemas con el viaje,alta
solicitud conductor no paga todo lo que marca el taxismo,problemas con el pago,inmediata
"solicitud conductor no responde llamadas ni sms, una perdida de tiempo...",problemas con el viaje,alta
solicitud cliente llovía mucho   nunca llegó,problemas con el viaje,alta
solicitud conductor cliente coloca que esta en el taxi y finaliza la solicitud,problemas con el viaje,alta
solicitud conductor cliente llama molesto q porq no llego le estoy esperando el la ubicacion que me marca la aplicación en el colegio benigno malo y el dice q esta en la huaynacapac,problemas con la cuenta/app,alta
solicitud conductor cliente da mala la dirección hace llegar y no contesta el teléfono,problemas con el viaje,alta
pre-registro #105372035  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con la aplicación,mensaje de operador,baja
solicitud conductor cliente 1001 me canceló la carrera cuando ya estaba llegando a su qth,problemas con el viaje,alta
solicitud conductor revisar por favor el cliente juega con la aplicación dise q una consulta y luego no responde  llamadas ni mensajes,problemas con el viaje,alta
le espero le espero,otros problemas,baja
consulta de traslado me pueden trasladar con mi perro al veterinario,otros problemas,baja
solicitud conductor pide la unidad y se sube con perros. y no quiere roconocer el dólar adicional,problemas con el viaje,alta
solicitud conductor mal,otros problemas,baja
